要	0.48549295774647866
暗查	-0.4
陶醉在	1.95
臭老九	-0.7
齐唱	1.0
宾至如归	1.0
佛罗里达	1.2
俯视	1.0499999999999998
纳西	-0.48
土音	1.4
容量	0.6
宠辱不惊	1.6
从头至尾	2.2
奇形怪状	1.2
滁州	1.2
欣喜若狂	1.4249999999999998
招收	0.55
吃重	-0.48
好事	1.0385
责无旁贷	1.0
大张旗鼓	1.0
黄昏	-0.6499999999999999
契友	1.4
传宗接代	1.2
敬请	0.6
胞衣	-0.5599999999999999
挺好	0.6000000000000001
香精	1.1513888888888888
老想	0.5
免强	-0.54
命苦	-1.02
明月当空	1.2999999999999998
圆圆的	0.8
拉杆	-1.1
粉墙黛瓦	1.2666666666666666
不知廉耻	-1.35
窜逃	-1.88
独酌	-0.5
嘱事	-0.4
得罪人	-0.5599999999999999
得理不饶人	-0.6400000000000001
信访	0.7
拱抱	1.1
暧昧	-0.19250000000000023
屹立	1.0
免得	0.44999999999999996
牵引力	1.4
绞尽脑汁	-0.6400000000000001
阴山	2.8000000000000003
觞	-0.5
断章取义	-1.2
馈线	-0.4
花俏	-0.8
觚	-0.5
绿宝石	1.1
自查	1.1
觥	-0.5
墨梅	1.0
触	0.8
不眠不休	1.4
嵯峨	1.2999999999999998
解	0.9749999999999999
逾越	1.2000000000000002
契合	1.1874932614555256
还乡	1.0499999999999998
伤天害理	-1.6
中巴车	0.6
免征	-0.6
演变	0.6
靠不住	-1.4
壮怀	1.6
大多	0.75
如下	-0.4
览胜	0.8
免役	-0.6
工事	0.7000000000000001
宝贝儿	1.2348917748917752
遍访	0.7
公害	-0.4
智残	-0.8
致命伤	-0.7
冲动	-0.14315789473684198
纵观	1.0
低气压区	-0.4
遭袭	-0.6400000000000001
不可或缺	-0.4
群星璀璨	1.4878787878787878
被告人	-1.0
那般	0.36
风闻	-0.4
奉告	0.15
转学	1.0
多姿	1.2999999999999998
潮涨潮落	1.2
纵览	1.0
宿醉	-0.4
耐心	1.0
令人作呕	-1.2416666666666667
这个	-0.8
形影不	1.8
麻黄素	-1.56
奖励	0.9650000000000001
胆识	1.2
黄斑	-1.2
凹凸不平	-1.56
线衣	1.1
走风	-0.5599999999999999
致癌物	0.5
陷身囹圄	-1.1400000000000001
骋怀	1.2000000000000002
旋风装	1.0
钻空子	-0.6000000000000001
天堑	1.0
灵活性	-1.0499999999999998
这不	0.75
哂笑	1.4499999999999997
虚数	-1.5
减价	1.0
喜悦	1.2941176470588232
坚定不移	0.8
线装	1.0
测试	0.5
人命关天	-0.32000000000000006
命根子	1.2543434343434345
短浅	-1.2
权变	0.8
公子	0.6
酒泉	1.2
自觉自愿	1.0
抗洪	0.8
贫困户	-0.6
马到成功	1.2000000000000002
清者自清	0.8
重工	0.8
闪光点	0.8
射击队	0.6000000000000001
只需要	0.6499999999999999
含氧量	0.6
言者无罪	0.6000000000000001
揭老底	-1.05
大增	0.24314285714285722
工会	1.0163793103448278
返乡	1.0499999999999998
工伤	-0.7
天之骄子不需要一睁	2.2
苦不堪言	-2.0
言犹在耳	1.2
农函大	-0.3
西	-0.48
在陪	1.2
粪便	-0.6
会议桌	0.4
光影	1.2
无线	-1.62
希特勒	-1.0
八字	0.8999999999999999
践行	0.6
嵩山	2.8000000000000003
无缝	0.6000000000000001
心存疑惑	-0.5599999999999999
有时候	1.755
穷骨头	-0.4
红帽子	-1.06
嗜好	1.4444444444444446
伙伴国	-0.84
换取	0.45
港湾	0.8
新大陆	-0.6400000000000001
夫妇	1.6
减产	-0.5
劳动量	0.6
问明	0.6
货运量	0.6
挂彩	-0.6900000000000001
数典忘祖	-1.4
故里	1.2999999999999998
拒收	-1.6
轻声	1.0
转嫁	0.36
妙趣横溢	1.1954166666666668
硬币	1.4
如今	1.4
气象万千	1.6
最少	0.24
闲文	0.8
饶舌	1.2
欺压	-1.4
示范场	0.6000000000000001
平方尺	0.6000000000000001
骨灰箱	-0.7
昂立	-0.5066666666666667
油然而生	1.75
最小	0.6
歌唱家	1.105
通都大邑	0.2951428571428571
活该	-1.2999999999999998
正事	0.6
鉴赏家	1.105
土里土气	-1.0
这样一来	0.18
抠抠搜搜	0.75
小前提	0.6
